Configuration, Max Error, Avg Error, Despeckle Max Error, Despeckle Avg Error, Compressed Size
HILBERT_Q:10_J:70_P:2,65535,27892.2,65535,27482.3,878485
HILBERT_Q:10_J:75_P:2,65433,27882.5,65433,27454.4,943012
HILBERT_Q:10_J:80_P:2,65433,27871.9,65535,27379.5,1033363
HILBERT_Q:10_J:85_P:2,65535,27840.1,65535,27190.2,1150453
HILBERT_Q:10_J:90_P:2,65535,27794.1,65535,27054.5,1323020
HILBERT_Q:10_J:95_P:2,65535,27728.6,65535,26961.8,1622654
HILBERT_Q:10_J:100_P:2,65471,27685.9,65471,26932.7,2213084
HILBERT_Q:10_P:2,65471,27685.9,65471,26932.7,3000000
HILBERT_Q:10_J:70_P:3,65230,24304.9,61775,20388.7,1113038
HILBERT_Q:10_J:75_P:3,65230,24106.3,62042,19905.9,1208379
HILBERT_Q:10_J:80_P:3,64409,23789.6,63156,19133.8,1339477
HILBERT_Q:10_J:85_P:3,64985,23470.1,63642,18270.3,1497495
HILBERT_Q:10_J:90_P:3,65433,23176.7,61775,17503.6,1738564
HILBERT_Q:10_J:95_P:3,65371,23100.6,63604,16634.3,2126284
HILBERT_Q:10_J:100_P:3,65433,23170.1,61978,16639.5,2778557
HILBERT_Q:10_P:3,65433,23170.1,61978,16639.5,3000000
HILBERT_Q:12_J:70_P:2,64676,34553.5,65216,34498.7,151491
HILBERT_Q:12_J:75_P:2,64580,34552.6,64521,34494.1,167794
HILBERT_Q:12_J:80_P:2,64639,34551.6,64521,34491.7,193272
HILBERT_Q:12_J:85_P:2,64687,34554.4,64987,34493.7,228551
HILBERT_Q:12_J:90_P:2,64564,34553.6,64564,34492.2,290491
HILBERT_Q:12_J:95_P:2,64532,34549.8,64532,34488.4,410182
HILBERT_Q:12_J:100_P:2,64511,34545,64505,34495.7,635935
HILBERT_Q:12_P:2,64511,34545,64505,34495.7,3000000
HILBERT_Q:12_J:70_P:3,65371,24484.7,63594,25147.9,1314565
HILBERT_Q:12_J:75_P:3,65214,24248.3,65214,24786,1405574
HILBERT_Q:12_J:80_P:3,65182,23949.1,63583,24061.3,1533892
HILBERT_Q:12_J:85_P:3,65054,23599,63670,23247.1,1699639
HILBERT_Q:12_J:90_P:3,65472,23188.1,63610,22078.6,1936619
HILBERT_Q:12_J:95_P:3,65371,22858.6,63658,21377.7,2335041
HILBERT_Q:12_J:100_P:3,65403,22756.2,63626,21009.9,3012363
HILBERT_Q:12_P:3,65403,22756.2,63626,21009.9,3000000
HILBERT_Q:14_J:70_P:3,65208,35150.6,63221,35153,603025
HILBERT_Q:14_J:75_P:3,65375,35162.4,62986,35166.9,682913
HILBERT_Q:14_J:80_P:3,65204,35173.2,62794,35181,801421
HILBERT_Q:14_J:85_P:3,65383,35182.4,62701,35190.9,953046
HILBERT_Q:14_J:90_P:3,65411,35185.5,62709,35194.9,1170650
HILBERT_Q:14_J:95_P:3,65395,35185.7,62677,35194.9,1531282
HILBERT_Q:14_J:100_P:3,65407,35195.3,62677,35204.4,2125117
HILBERT_Q:14_P:3,65407,35195.3,62677,35204.4,3000000
HILBERT_Q:14_J:70_P:4,65391,29740.7,65391,35070.1,1343162
HILBERT_Q:14_J:75_P:4,65217,29781.4,65217,35054.6,1436763
HILBERT_Q:14_J:80_P:4,65532,29829.4,65105,35034.6,1568360
HILBERT_Q:14_J:85_P:4,65213,29892.9,65213,34950.7,1734779
HILBERT_Q:14_J:90_P:4,65181,29957.6,65181,34814.2,1963912
HILBERT_Q:14_J:95_P:4,65161,30053.8,65161,34680.2,2368636
HILBERT_Q:14_J:100_P:4,65201,30266,65201,34807.4,3037437
HILBERT_Q:14_P:4,65201,30266,65201,34807.4,3000000
HILBERT_Q:16_J:70_P:4,65534,35131.4,63348,35128.6,760144
HILBERT_Q:16_J:75_P:4,65430,35139.1,63345,35137.4,858386
HILBERT_Q:16_J:80_P:4,65434,35142,65017,35145.1,995172
HILBERT_Q:16_J:85_P:4,65428,35140.1,63349,35148.4,1164365
HILBERT_Q:16_J:90_P:4,62845,35143.8,62845,35156,1405934
HILBERT_Q:16_J:95_P:4,65427,35148.5,62836,35159.5,1800399
HILBERT_Q:16_J:100_P:4,65430,35148.2,62834,35159.3,2448887
HILBERT_Q:16_P:4,65430,35148.2,62834,35159.3,3000000
HILBERT_Q:16_J:70_P:5,65535,33503.8,65535,37057.6,1294599
HILBERT_Q:16_J:75_P:5,65535,33433.1,65535,37036.8,1388804
HILBERT_Q:16_J:80_P:5,65534,33363.5,65534,37006.1,1521970
HILBERT_Q:16_J:85_P:5,65534,33304.8,65534,36969.7,1689021
HILBERT_Q:16_J:90_P:5,65535,33246.9,65401,36927.4,1924474
HILBERT_Q:16_J:95_P:5,65535,33401.4,65529,36837.2,2330140
HILBERT_Q:16_J:100_P:5,65535,33921.6,65535,36795.8,3011118
HILBERT_Q:16_P:5,65535,33921.6,65535,36795.8,3000000
